No,thread_url,post_code
241,https://www.threads.net/@asa_to_ame/post/DUsoKtUiS4i,DUsoKtUiS4i
242,https://www.threads.net/@asa_to_ame/post/DUsnqF7E8Uu,DUsnqF7E8Uu
243,https://www.threads.net/@asa_to_ame/post/DUsnPdSk28g,DUsnPdSk28g
244,https://www.threads.net/@asa_to_ame/post/DUsaa0ID6zP,DUsaa0ID6zP
245,https://www.threads.net/@asa_to_ame/post/DUsac4LD045,DUsac4LD045
246,https://www.threads.net/@asa_to_ame/post/DUsV0D7k1k4,DUsV0D7k1k4
247,https://www.threads.net/@asa_to_ame/post/DUsVRnPE4ax,DUsVRnPE4ax
248,https://www.threads.net/@asa_to_ame/post/DUsVRjTE__f,DUsVRjTE__f
249,https://www.threads.net/@asa_to_ame/post/DUsT8-7D31l,DUsT8-7D31l
250,https://www.threads.net/@asa_to_ame/post/DUsT_BFD7vx,DUsT_BFD7vx
251,https://www.threads.net/@asa_to_ame/post/DUsMyLzCJ09,DUsMyLzCJ09
252,https://www.threads.net/@asa_to_ame/post/DUsMr6MgSW_,DUsMr6MgSW_
253,https://www.threads.net/@asa_to_ame/post/DUsMt0KAaYb,DUsMt0KAaYb
254,https://www.threads.net/@asa_to_ame/post/DUsIOq0E7_Q,DUsIOq0E7_Q
255,https://www.threads.net/@asa_to_ame/post/DUr-9BTAeBj,DUr-9BTAeBj
256,https://www.threads.net/@asa_to_ame/post/DUr-_JFgUW6,DUr-_JFgUW6
257,https://www.threads.net/@asa_to_ame/post/DUr2z24E4cq,DUr2z24E4cq
258,https://www.threads.net/@asa_to_ame/post/DUr25b8E6wx,DUr25b8E6wx
259,https://www.threads.net/@asa_to_ame/post/DUry78PAf5J,DUry78PAf5J
260,https://www.threads.net/@asa_to_ame/post/DUrus9Bgfj1,DUrus9Bgfj1
261,https://www.threads.net/@asa_to_ame/post/DUrut5dAdKI,DUrut5dAdKI
262,https://www.threads.net/@asa_to_ame/post/DUrlFt8gc6E,DUrlFt8gc6E
263,https://www.threads.net/@asa_to_ame/post/DUqUWeZk8t1,DUqUWeZk8t1
264,https://www.threads.net/@asa_to_ame/post/DUqOjVIkzua,DUqOjVIkzua
265,https://www.threads.net/@asa_to_ame/post/DUqOnS9E5jq,DUqOnS9E5jq
266,https://www.threads.net/@asa_to_ame/post/DUqFD6pE9wM,DUqFD6pE9wM
267,https://www.threads.net/@asa_to_ame/post/DUp8gThCeRY,DUp8gThCeRY
268,https://www.threads.net/@asa_to_ame/post/DUp8hYbCRnT,DUp8hYbCRnT
269,https://www.threads.net/@asa_to_ame/post/DUp11nykxXE,DUp11nykxXE
270,https://www.threads.net/@asa_to_ame/post/DUp11owE94r,DUp11owE94r
271,https://www.threads.net/@asa_to_ame/post/DUp1n8ij6C1,DUp1n8ij6C1
